cod_local,cod_ubicacion,cod_local_tipo,cod_ubigeo,calle,numero,denominacion,pais
1,76,2,150102,Stone Corner,1674,Business Services,PER
2,562,3,151002,Burning Wood,9076,Restaurants,PER
3,943,1,150731,Sachtjen,2105,Automotive Aftermarket,PER
4,49,4,150125,Eagle Crest,3625,Computer Software: Prepackaged Software,PER
5,595,4,151032,Bonner,7692,Major Pharmaceuticals,PER
6,16,1,150719,Sugar,9401,Oil & Gas Production,PER
7,949,4,150508,Southridge,1306,Medical/Nursing Services,PER
8,83,3,150725,Onsgard,6221,Industrial Machinery/Components,PER
9,44,3,150607,Cordelia,9643,n/a,PER
10,979,4,150725,Sachtjen,7093,EDP Services,PER
11,680,2,150601,Dahle,280,Electric Utilities: Central,PER
12,318,4,150129,Portage,3352,n/a,PER
13,443,2,150504,5th,120,Multi-Sector Companies,PER
14,310,3,150707,Johnson,5375,Biotechnology: Biological Products (No Diagnostic Substances),PER
15,666,3,151032,Parkside,4011,n/a,PER
16,777,3,150113,Quincy,3833,Computer Manufacturing,PER
17,984,3,150906,Vera,8196,Biotechnology: Biological Products (No Diagnostic Substances),PER
18,943,3,150132,Havey,4909,Auto Manufacturing,PER
19,350,4,150718,Banding,4562,Medical Electronics,PER
20,647,3,150403,Becker,1900,Electrical Products,PER
21,401,4,150508,Kinsman,7235,Business Services,PER
22,249,4,151022,Florence,2630,Integrated oil Companies,PER
23,916,4,151004,Scofield,8404,Major Banks,PER
24,235,4,150723,Bay,71,Other Consumer Services,PER
25,70,2,150806,Porter,7344,Telecommunications Equipment,PER
26,944,3,150609,Independence,7566,Oil & Gas Production,PER
27,805,2,150726,Grim,8593,Industrial Machinery/Components,PER
28,602,4,150728,Red Cloud,5047,Homebuilding,PER
29,24,3,150110,Lien,581,Major Pharmaceuticals,PER
30,678,1,150904,Scoville,2755,Major Pharmaceuticals,PER
31,722,3,150133,Calypso,3059,Other Specialty Stores,PER
32,218,4,150139,Morrow,9486,Real Estate Investment Trusts,PER
33,932,3,150303,Golden Leaf,4433,Food Distributors,PER
34,726,2,151027,Oak Valley,9964,Movies/Entertainment,PER
35,938,1,150143,Pine View,8481,Electric Utilities: Central,PER
36,799,3,150804,Mayer,3177,Packaged Foods,PER
37,272,1,150515,Lindbergh,379,Business Services,PER
38,767,2,150110,Loftsgordon,2582,Computer Software: Prepackaged Software,PER
39,762,4,150506,4th,6349,n/a,PER
40,10,4,150611,Kedzie,6173,Hotels/Resorts,PER
41,329,3,150805,Michigan,2597,Real Estate Investment Trusts,PER
