cod_pedido,cod_representante,cod_empleado,cod_pedido_tipo,cod_pedido_estado,fecha_registro,cod_ticket
1,926,942,V,A,2022-06-19,1
2,487,507,A,R,2021-01-24,2
3,512,481,V,F,2020-03-01,3
4,64,517,V,R,2021-12-25,4
5,911,753,A,R,2019-10-02,5
6,1000,846,A,P,2023-08-01,6
7,635,550,A,P,2023-01-02,7
8,386,248,A,R,2024-03-14,8
9,435,89,A,A,2021-07-26,9
10,383,756,V,P,2023-03-31,10
11,693,777,A,A,2022-04-13,11
12,594,693,A,R,2021-07-15,12
13,437,590,A,A,2022-04-26,13
14,980,950,V,A,2023-10-07,14
15,772,487,V,A,2022-08-07,15
16,545,163,V,A,2019-06-12,16
17,401,322,A,R,2022-05-25,17
18,267,372,A,R,2022-02-25,18
19,849,151,A,R,2023-10-18,19
20,525,900,A,F,2021-01-21,20
21,306,346,A,P,2020-07-30,21
22,445,117,A,F,2021-12-18,22
23,951,190,A,F,2022-02-01,23
24,656,271,A,P,2024-02-20,24
25,149,420,A,P,2021-06-06,25
26,803,129,V,A,2019-02-11,26
27,745,813,V,R,2021-08-19,27
28,83,452,A,F,2020-04-08,28
29,418,66,V,F,2023-03-04,29
30,871,901,A,F,2022-07-29,30
31,284,647,A,P,2021-07-10,31
32,408,907,V,A,2020-02-24,32
33,889,124,V,A,2021-12-15,33
34,590,71,A,F,2022-05-19,34
35,431,123,V,F,2019-12-14,35
36,785,316,A,R,2022-11-06,36
37,68,226,V,R,2020-04-26,37
38,468,493,A,R,2019-05-05,38
39,696,876,A,P,2020-11-08,39
40,200,136,A,F,2023-11-12,40
41,822,529,V,R,2021-03-02,41
42,449,845,A,A,2023-05-03,42
43,878,431,A,R,2021-10-27,43
44,668,464,V,P,2020-04-10,44
45,647,821,A,P,2019-05-25,45
46,971,975,A,P,2020-02-09,46
47,612,130,A,A,2022-02-01,47
48,247,418,V,F,2023-02-05,48
49,319,717,V,A,2022-05-25,49
50,496,730,A,A,2023-11-03,50
51,299,103,V,A,2020-08-02,51
52,523,647,V,F,2020-07-02,52
53,510,15,A,P,2020-03-06,53
54,806,829,A,A,2023-11-16,54
55,541,500,A,A,2023-10-12,55
56,80,106,A,P,2022-05-29,56
57,34,43,V,P,2019-07-24,57
58,909,216,A,P,2023-06-10,58
59,698,558,V,A,2023-09-12,59
60,323,593,A,P,2019-05-09,60
61,258,791,A,A,2021-04-09,61
62,273,667,A,R,2021-07-13,62
63,836,496,V,R,2019-12-09,63
64,674,806,A,A,2020-07-08,64
65,563,602,V,F,2021-04-18,65
66,669,968,V,F,2020-07-04,66
67,202,790,A,A,2019-02-19,67
68,386,190,V,A,2021-05-28,68
69,321,740,A,R,2020-03-26,69
70,16,586,V,P,2020-08-19,70
71,411,71,A,R,2023-05-21,71
72,102,559,V,F,2021-04-01,72
73,358,159,V,F,2019-11-09,73
74,393,907,A,R,2022-04-27,74
75,971,495,V,R,2023-12-11,75
76,734,651,A,P,2021-11-27,76
77,324,571,V,P,2021-05-09,77
78,172,172,V,A,2020-01-18,78
79,500,248,V,F,2021-06-30,79
80,892,132,A,A,2022-03-10,80
81,100,417,A,F,2021-02-15,81
82,553,914,A,P,2019-05-27,82
83,946,997,A,R,2020-08-22,83
84,884,449,V,P,2019-01-01,84
85,923,850,V,R,2021-05-18,85
86,134,968,A,P,2023-08-31,86
87,745,962,A,A,2023-12-03,87
88,608,841,A,R,2021-02-21,88
89,117,452,V,F,2022-05-29,89
90,904,416,A,R,2020-05-27,90
91,570,884,V,F,2019-12-18,91
92,749,814,A,R,2019-10-28,92
93,92,983,A,F,2019-10-26,93
94,877,237,V,P,2019-06-18,94
95,996,729,V,R,2022-12-01,95
96,560,626,V,F,2021-03-23,96
97,911,139,A,F,2023-03-11,97
98,116,932,V,P,2024-01-10,98
99,734,451,V,F,2022-07-19,99
100,960,642,A,R,2020-04-07,100
101,858,925,A,R,2021-07-11,101
102,274,578,A,P,2022-01-15,102
103,147,567,V,R,2023-12-21,103
104,588,586,V,F,2019-05-04,104
105,42,264,V,P,2020-12-16,105
106,393,315,V,P,2022-09-01,106
107,439,344,A,F,2019-07-24,107
108,835,593,V,P,2020-03-23,108
109,990,738,A,F,2024-04-04,109
110,625,601,A,A,2021-03-31,110
111,94,280,A,P,2024-03-31,111
112,454,580,A,R,2023-07-06,112
113,754,489,V,A,2020-07-14,113
114,82,83,A,A,2021-12-07,114
115,481,132,V,R,2021-12-17,115
116,275,493,V,F,2023-10-04,116
117,446,728,A,R,2019-11-20,117
118,737,261,A,A,2022-04-13,118
119,968,444,V,F,2020-08-10,119
120,729,333,A,P,2023-12-07,120
121,759,670,V,F,2023-10-01,121
122,287,768,A,A,2021-03-03,122
123,573,535,V,A,2022-08-01,123
124,439,233,V,A,2023-09-26,124
125,596,649,V,A,2021-08-12,125
126,990,995,V,A,2021-09-16,126
127,350,940,V,F,2020-07-16,127
128,773,86,A,F,2021-03-23,128
129,82,75,V,F,2022-06-12,129
130,210,639,V,A,2020-12-17,130
131,46,737,A,F,2022-11-06,131
132,285,747,A,R,2020-09-30,132
133,56,603,V,F,2019-11-03,133
134,359,133,V,P,2024-04-09,134
135,522,982,V,P,2020-05-04,135
136,607,999,A,P,2022-07-25,136
137,246,336,A,R,2021-08-29,137
138,372,197,A,A,2020-07-05,138
139,845,471,A,R,2023-12-01,139
140,443,260,A,A,2021-03-22,140
141,693,122,V,R,2019-01-30,141
142,778,944,A,R,2023-11-23,142
143,364,93,V,F,2023-04-08,143
144,98,3,A,P,2022-04-03,144
145,471,648,V,R,2020-12-12,145
146,893,487,A,F,2023-09-20,146
147,358,630,V,P,2019-01-10,147
148,169,71,A,R,2021-02-04,148
149,681,705,V,P,2019-04-19,149
150,223,852,V,P,2021-09-08,150
151,404,676,A,A,2022-05-09,151
152,518,273,A,R,2021-05-26,152
153,436,382,V,F,2023-10-26,153
154,162,508,A,P,2021-11-02,154
155,222,778,V,R,2022-12-21,155
156,172,236,V,A,2021-08-18,156
157,343,660,V,A,2023-11-02,157
158,69,299,A,P,2020-12-07,158
159,83,506,V,A,2019-06-04,159
160,400,715,V,F,2023-08-17,160
161,403,925,A,F,2019-04-13,161
162,641,323,A,F,2020-09-30,162
163,27,326,V,A,2021-05-30,163
164,381,857,V,P,2022-04-25,164
165,461,857,V,A,2022-08-23,165
166,88,178,V,P,2020-09-30,166
167,515,758,A,F,2019-05-06,167
168,764,381,V,F,2023-03-29,168
169,228,350,A,P,2022-08-28,169
170,59,60,A,F,2020-05-11,170
171,579,665,A,R,2021-02-05,171
172,41,116,V,F,2021-08-19,172
173,699,868,V,P,2020-01-06,173
174,990,203,A,F,2020-05-04,174
175,389,493,V,P,2022-03-25,175
176,630,384,A,P,2021-07-15,176
177,627,854,A,A,2019-04-06,177
178,525,942,V,F,2020-01-31,178
179,424,91,A,F,2021-10-26,179
180,74,914,V,A,2019-04-11,180
181,520,524,V,P,2022-09-10,181
182,837,812,V,F,2022-06-14,182
183,56,269,V,F,2024-04-08,183
184,386,751,A,A,2020-09-28,184
185,706,247,V,P,2019-03-28,185
186,784,386,V,A,2022-06-27,186
187,493,565,A,F,2022-08-16,187
188,996,460,V,F,2024-03-02,188
189,511,209,V,R,2024-04-21,189
190,643,910,A,F,2022-05-18,190
191,419,71,A,P,2023-03-13,191
192,306,100,V,P,2019-10-01,192
193,60,345,A,P,2021-02-10,193
194,621,207,V,F,2021-01-20,194
195,392,36,A,A,2023-02-05,195
196,877,458,V,A,2021-04-18,196
197,768,901,V,R,2024-04-21,197
198,783,205,V,P,2022-08-02,198
199,689,516,A,F,2021-12-23,199
200,239,74,A,P,2023-12-10,200
201,747,199,V,F,2024-01-09,201
202,219,76,A,F,2021-03-09,202
203,919,149,V,P,2023-05-30,203
204,450,86,A,F,2021-08-03,204
205,627,69,A,R,2020-05-15,205
