cod_reclamo,cod_representante,cod_pedido,cod_seguimiento,cod_tipo_reclamo,cod_nivel_urgencia,cod_estado_reclamo,comentario,fecha_suceso,fecha_reclamo
5,11,56,9,D,B,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,4/13/2024,4/15/2024
40,40,26,1,B,A,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,4/7/2024,4/9/2024
26,27,70,43,C,M,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,4/16/2024,4/17/2024
9,62,85,49,F,M,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,3/12/2024,3/12/2024
81,10,28,64,G,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/30/2024,4/3/2024
36,4,54,26,B,A,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/10/2024,3/10/2024
49,100,47,8,C,M,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,3/9/2024,3/12/2024
92,20,65,80,D,A,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,4/14/2024,4/14/2024
36,62,89,70,A,B,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/5/2024,3/5/2024
24,47,56,94,D,B,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,3/27/2024,3/29/2024
42,56,22,96,D,A,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2/26/2024,3/1/2024
33,3,12,5,G,B,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,3/9/2024,3/13/2024
88,27,80,82,D,A,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,3/11/2024,3/13/2024
5,51,44,71,D,A,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,3/5/2024,3/9/2024
32,58,66,68,A,M,A,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,3/22/2024,3/26/2024
98,62,100,20,B,A,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/18/2024,3/21/2024
26,87,31,39,F,A,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,3/16/2024,3/16/2024
21,64,56,100,G,B,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,3/5/2024,3/8/2024
34,69,11,92,G,A,B,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,3/4/2024,3/4/2024
39,28,40,53,E,B,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,4/2/2024,4/6/2024
32,52,95,66,A,A,B,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,3/19/2024,3/20/2024
18,53,29,93,E,A,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/22/2024,3/23/2024
78,79,77,46,G,B,D,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,4/5/2024,4/5/2024
11,66,9,58,D,M,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,4/5/2024,4/5/2024
23,10,95,97,C,M,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/15/2024,3/16/2024
11,59,76,10,G,M,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,4/18/2024,4/19/2024
59,35,32,62,B,A,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,4/17/2024,4/17/2024
97,85,97,93,F,B,B,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,3/30/2024,4/1/2024
80,100,9,86,A,A,D,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,4/2/2024,4/5/2024
25,26,34,27,B,M,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,4/8/2024,4/11/2024
63,2,22,81,B,A,B,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,3/12/2024,3/14/2024
31,85,2,73,E,M,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,3/9/2024,3/10/2024
59,38,48,23,B,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2/29/2024,3/4/2024
32,47,91,81,C,B,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/26/2024,3/28/2024
72,37,8,49,C,B,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,4/8/2024,4/10/2024
1,70,49,61,D,A,D,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,4/17/2024,4/20/2024
20,33,59,25,E,B,D,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,3/14/2024,3/14/2024
42,85,78,17,G,A,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/14/2024,3/18/2024
60,36,87,95,D,A,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2/29/2024,3/1/2024
54,93,57,6,B,B,B,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,3/20/2024,3/21/2024
3,58,94,35,F,B,B,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,4/17/2024,4/19/2024
1,59,25,48,F,B,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,4/7/2024,4/10/2024
67,36,40,2,B,A,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/16/2024,3/17/2024
53,70,5,95,B,A,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/26/2024,3/27/2024
18,16,93,51,D,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,3/29/2024,3/31/2024
14,89,81,21,E,A,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,4/5/2024,4/5/2024
62,2,40,2,C,B,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/29/2024,3/30/2024
3,26,65,90,G,A,D,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,4/18/2024,4/22/2024
3,87,24,71,B,B,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,3/24/2024,3/24/2024
26,33,35,46,D,B,B,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,3/25/2024,3/25/2024
47,71,34,16,A,A,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,3/20/2024,3/22/2024
48,87,50,63,A,M,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,3/24/2024,3/26/2024
9,71,64,73,C,A,B,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,3/14/2024,3/15/2024
22,96,99,47,A,A,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,3/5/2024,3/5/2024
40,78,24,48,G,B,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2/27/2024,3/1/2024
52,6,30,52,B,M,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2/27/2024,2/28/2024
35,39,70,22,B,M,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,3/24/2024,3/25/2024
