cod_vehiculo,cod_vehiculo_estado,anio_fabricacion,fecha_ultimo_mantenimiento,fecha_ultimo_viaje,capacidad_carga,cod_vehiculo_marca,cod_vehiculo_tipo,placa,cod_vehiculo_modelo
1,C,2016,6/03/2024,29/12/2022,1035,16,C,XO6-429,F
2,C,2005,27/11/2023,24/03/2023,1696,7,P,OUT-344,C
3,C,2015,3/01/2024,7/06/2022,1064,11,R,5XI-659,D
4,N,2017,7/12/2022,3/02/2023,963,6,R,3BP-712,E
5,N,2020,14/11/2022,27/10/2023,1857,18,C,AJ9-795,E
6,C,2009,26/11/2023,12/12/2022,1939,7,C,2NX-117,S
7,D,2008,3/10/2022,16/06/2022,707,13,R,90Q-603,F
8,D,2005,13/10/2022,8/02/2024,1913,15,R,89J-624,D
9,N,2015,8/10/2022,12/12/2022,1857,19,R,BE1-282,S
10,D,2013,4/11/2022,3/07/2023,1721,10,R,HIJ-790,C
11,D,2017,8/06/2022,5/10/2023,971,6,R,TU2-213,F
12,D,2005,15/10/2022,8/08/2022,624,2,C,K5J-596,F
13,D,2008,22/05/2023,15/12/2023,1162,2,R,ZHS-379,C
14,D,2011,27/09/2022,9/06/2023,1669,3,R,1JW-591,D
15,C,2013,6/08/2022,10/04/2023,1406,18,C,F9L-544,E
16,D,2018,19/06/2024,31/05/2023,1203,6,C,7VK-309,E
17,C,2011,9/12/2022,12/05/2022,620,6,R,136-835,S
18,D,2013,3/05/2022,24/05/2023,538,15,C,PA2-603,F
19,N,2016,3/07/2022,4/08/2023,1476,17,C,RS9-342,D
20,C,2014,4/05/2022,14/04/2022,1400,19,C,OUJ-167,S
21,D,2013,1/02/2023,11/05/2022,1752,19,R,5ST-247,C
22,C,2017,13/07/2022,11/06/2023,1808,17,C,Q4R-663,F
23,D,2018,29/04/2024,30/06/2023,731,4,R,3GY-638,F
24,D,2020,18/12/2023,25/05/2023,701,16,C,51T-383,C
25,D,2011,4/07/2023,2/04/2024,1316,18,R,7T2-282,D
26,C,2015,25/05/2023,29/06/2022,1338,16,R,N1Y-499,E
27,D,2010,9/03/2023,12/12/2022,788,15,R,H6S-096,E
28,D,2009,20/08/2023,18/10/2023,1558,16,R,AFY-545,S
29,D,2017,24/05/2022,7/10/2023,1680,16,P,C6R-547,F
30,C,1998,16/02/2023,20/05/2024,1581,18,R,53A-820,D
31,C,2009,23/11/2023,16/01/2023,624,5,C,ZTN-102,S
